SalesID	OrderID	ProductID	CustomerID	Quantity	SalesAmount	Profit
S00057	O00057	P016	C0069	2	3576	1242
S00058	O00058	P011	C0062	2	680	244
S00059	O00059	P005	C0137	1	2784	1373
S00060	O00060	P025	C0166	2	9264	2304
S00061	O00061	P004	C0085	2	5806	902
S00062	O00062	P021	C0023	5	30875	6295
S00063	O00063	P019	C0058	2	5754	1164
S00064	O00064	P001	C0199	3	6186	633
S00065	O00065	P021	C0175	3	18525	3777
S00066	O00066	P004	C0006	3	8709	1353
S00067	O00067	P005	C0198	5	13920	6865
S00068	O00068	P004	C0186	3	8709	1353
S00069	O00069	P012	C0013	1	1723	1125
S00070	O00070	P021	C0185	2	12350	2518
S00071	O00071	P017	C0003	3	9237	4221
S00072	O00072	P030	C0156	3	8073	2778
S00073	O00073	P024	C0159	5	6855	3865
S00074	O00074	P010	C0101	2	10552	2770
S00075	O00075	P017	C0154	1	3079	1407
S00076	O00076	P018	C0071	1	4017	725
S00077	O00077	P016	C0068	2	3576	1242
S00078	O00078	P021	C0018	5	30875	6295
S00079	O00079	P019	C0176	1	2877	582
S00080	O00080	P003	C0040	5	17755	4170
S00081	O00081	P011	C0197	3	1020	366
S00082	O00082	P013	C0113	1	1060	610
S00083	O00083	P018	C0003	1	4017	725
S00084	O00084	P001	C0118	4	8248	844
S00085	O00085	P020	C0104	4	10572	2208
S00086	O00086	P023	C0166	1	6046	1357
S00087	O00087	P017	C0136	3	9237	4221
S00088	O00088	P027	C0122	2	2542	1194
S00089	O00089	P004	C0041	1	2903	451
S00090	O00090	P021	C0169	1	6175	1259
S00091	O00091	P025	C0076	3	13896	3456
S00092	O00092	P005	C0133	1	2784	1373
S00093	O00093	P018	C0045	4	16068	2900
S00094	O00094	P016	C0006	2	3576	1242
S00095	O00095	P008	C0184	1	1773	1206
S00096	O00096	P015	C0174	4	5596	4292
S00097	O00097	P015	C0111	4	5596	4292
S00098	O00098	P005	C0033	1	2784	1373
S00099	O00099	P003	C0168	2	7102	1668
S00100	O00100	P030	C0074	2	5382	1852
S00101	O00101	P015	C0005	4	5596	4292
S00102	O00102	P018	C0002	2	8034	1450
S00103	O00103	P022	C0088	2	7782	1854
S00104	O00104	P013	C0045	5	5300	3050
S00105	O00105	P026	C0061	1	5412	918
S00106	O00106	P018	C0168	1	4017	725
S00107	O00107	P021	C0146	1	6175	1259
S00108	O00108	P027	C0165	4	5084	2388
S00109	O00109	P028	C0006	3	3771	1695
S00110	O00110	P005	C0153	5	13920	6865
S00111	O00111	P026	C0129	4	21648	3672
S00112	O00112	P016	C0052	3	5364	1863
S00113	O00113	P028	C0072	2	2514	1130
S00114	O00114	P009	C0037	3	7494	948
S00115	O00115	P015	C0145	1	1399	1073
S00116	O00116	P003	C0051	5	17755	4170
S00117	O00117	P005	C0148	5	13920	6865
S00118	O00118	P021	C0022	1	6175	1259
S00119	O00119	P013	C0192	4	4240	2440
S00120	O00120	P005	C0153	5	13920	6865
S00121	O00121	P007	C0074	4	10800	5644
S00122	O00122	P023	C0077	2	12092	2714
S00123	O00123	P017	C0023	3	9237	4221
S00124	O00124	P026	C0075	5	27060	4590
S00125	O00125	P020	C0066	1	2643	552
S00126	O00126	P027	C0162	1	1271	597
S00127	O00127	P024	C0063	2	2742	1546
S00128	O00128	P022	C0099	5	19455	4635
S00129	O00129	P001	C0186	1	2062	211
S00130	O00130	P020	C0140	2	5286	1104
S00131	O00131	P022	C0172	5	19455	4635
S00132	O00132	P009	C0103	4	9992	1264
S00133	O00133	P001	C0144	4	8248	844
S00134	O00134	P018	C0187	3	12051	2175
S00135	O00135	P027	C0109	4	5084	2388
S00136	O00136	P028	C0049	5	6285	2825
S00137	O00137	P012	C0060	5	8615	5625
S00138	O00138	P027	C0012	5	6355	2985
S00139	O00139	P019	C0012	5	14385	2910
S00140	O00140	P026	C0103	5	27060	4590
S00141	O00141	P030	C0121	1	2691	926
S00142	O00142	P024	C0151	3	4113	2319
S00143	O00143	P003	C0072	5	17755	4170
S00144	O00144	P019	C0007	5	14385	2910
S00145	O00145	P004	C0004	3	8709	1353
S00146	O00146	P012	C0164	5	8615	5625
S00147	O00147	P015	C0139	3	4197	3219
S00148	O00148	P005	C0055	5	13920	6865
S00149	O00149	P028	C0082	5	6285	2825
S00150	O00150	P012	C0156	1	1723	1125
S00151	O00151	P013	C0194	5	5300	3050
S00152	O00152	P023	C0020	2	12092	2714
S00153	O00153	P018	C0073	3	12051	2175
S00154	O00154	P016	C0185	1	1788	621
S00155	O00155	P011	C0141	3	1020	366
S00156	O00156	P027	C0114	3	3813	1791
S00157	O00157	P006	C0192	5	2150	405
S00158	O00158	P006	C0109	2	860	162
S00159	O00159	P017	C0151	1	3079	1407
S00160	O00160	P015	C0093	3	4197	3219
S00161	O00161	P016	C0004	1	1788	621
S00162	O00162	P008	C0003	1	1773	1206
S00163	O00163	P015	C0054	3	4197	3219
S00164	O00164	P013	C0084	1	1060	610
S00165	O00165	P020	C0176	3	7929	1656
S00166	O00166	P016	C0006	1	1788	621
S00167	O00167	P020	C0171	4	10572	2208
S00168	O00168	P023	C0050	5	30230	6785
S00169	O00169	P028	C0129	4	5028	2260
S00170	O00170	P022	C0069	5	19455	4635
S00171	O00171	P009	C0139	3	7494	948
S00172	O00172	P015	C0118	3	4197	3219
S00173	O00173	P016	C0180	3	5364	1863
S00174	O00174	P004	C0165	3	8709	1353
S00175	O00175	P013	C0079	1	1060	610
S00176	O00176	P007	C0013	1	2700	1411
S00177	O00177	P025	C0033	3	13896	3456
S00178	O00178	P021	C0007	2	12350	2518
S00179	O00179	P030	C0108	5	13455	4630
S00180	O00180	P020	C0060	1	2643	552
S00181	O00181	P013	C0183	4	4240	2440
S00182	O00182	P024	C0191	3	4113	2319
S00183	O00183	P016	C0114	2	3576	1242
S00184	O00184	P011	C0142	5	1700	610
S00185	O00185	P021	C0150	3	18525	3777
S00186	O00186	P003	C0193	4	14204	3336
S00187	O00187	P021	C0192	3	18525	3777
S00188	O00188	P020	C0027	5	13215	2760
S00189	O00189	P007	C0018	1	2700	1411
S00190	O00190	P001	C0015	1	2062	211
S00191	O00191	P018	C0003	2	8034	1450
S00192	O00192	P018	C0149	5	20085	3625
S00193	O00193	P029	C0101	1	1250	359
S00194	O00194	P011	C0010	3	1020	366
S00195	O00195	P017	C0048	1	3079	1407
S00196	O00196	P029	C0078	1	1250	359
S00197	O00197	P005	C0114	2	5568	2746
S00198	O00198	P019	C0015	1	2877	582
S00199	O00199	P002	C0031	2	572	120
S00200	O00200	P008	C0191	3	5319	3618
S00201	O00201	P002	C0185	3	858	180
S00202	O00202	P025	C0117	5	23160	5760
S00203	O00203	P030	C0110	2	5382	1852
S00204	O00204	P004	C0167	2	5806	902
S00205	O00205	P030	C0078	3	8073	2778
S00206	O00206	P011	C0091	4	1360	488
S00207	O00207	P010	C0033	2	10552	2770
S00208	O00208	P024	C0183	2	2742	1546
S00209	O00209	P006	C0035	1	430	81
S00210	O00210	P009	C0044	4	9992	1264
S00211	O00211	P012	C0141	4	6892	4500
S00212	O00212	P022	C0018	2	7782	1854
S00213	O00213	P007	C0186	3	8100	4233
S00214	O00214	P026	C0161	3	16236	2754
S00215	O00215	P002	C0097	3	858	180
S00216	O00216	P019	C0084	4	11508	2328
S00217	O00217	P023	C0075	5	30230	6785
S00218	O00218	P012	C0058	5	8615	5625
S00219	O00219	P010	C0020	5	26380	6925
S00220	O00220	P006	C0122	5	2150	405
S00221	O00221	P007	C0071	2	5400	2822
S00222	O00222	P016	C0042	3	5364	1863
S00223	O00223	P008	C0157	2	3546	2412
S00224	O00224	P011	C0155	2	680	244
S00225	O00225	P002	C0142	1	286	60
S00226	O00226	P016	C0035	1	1788	621
S00227	O00227	P011	C0155	5	1700	610
S00228	O00228	P009	C0019	1	2498	316
S00229	O00229	P011	C0058	3	1020	366
S00230	O00230	P010	C0004	2	10552	2770
S00231	O00231	P030	C0111	5	13455	4630
S00232	O00232	P019	C0127	3	8631	1746
S00233	O00233	P012	C0037	1	1723	1125
S00234	O00234	P028	C0179	2	2514	1130
S00235	O00235	P008	C0179	1	1773	1206
S00236	O00236	P017	C0133	4	12316	5628
S00237	O00237	P019	C0044	4	11508	2328
S00238	O00238	P018	C0186	4	16068	2900
S00239	O00239	P027	C0014	3	3813	1791
S00240	O00240	P028	C0078	1	1257	565
S00241	O00241	P015	C0035	1	1399	1073
S00242	O00242	P016	C0146	4	7152	2484
S00243	O00243	P015	C0016	2	2798	2146
S00244	O00244	P009	C0081	2	4996	632
S00245	O00245	P020	C0190	5	13215	2760
S00246	O00246	P015	C0120	5	6995	5365
S00247	O00247	P010	C0130	5	26380	6925
S00248	O00248	P001	C0175	3	6186	633
S00249	O00249	P006	C0189	5	2150	405
S00250	O00250	P027	C0094	2	2542	1194
S00251	O00251	P013	C0138	2	2120	1220
S00252	O00252	P017	C0115	5	15395	7035
S00253	O00253	P016	C0116	4	7152	2484
S00254	O00254	P006	C0070	1	430	81
S00255	O00255	P015	C0059	3	4197	3219
S00256	O00256	P024	C0014	4	5484	3092
S00257	O00257	P004	C0130	2	5806	902
S00258	O00258	P028	C0190	4	5028	2260
S00259	O00259	P020	C0036	2	5286	1104
S00260	O00260	P023	C0027	1	6046	1357
S00261	O00261	P018	C0096	3	12051	2175
S00262	O00262	P023	C0125	4	24184	5428
S00263	O00263	P019	C0165	4	11508	2328
S00264	O00264	P006	C0126	4	1720	324
S00265	O00265	P018	C0032	3	12051	2175
S00266	O00266	P011	C0163	5	1700	610
S00267	O00267	P016	C0083	4	7152	2484
S00268	O00268	P028	C0052	5	6285	2825
S00269	O00269	P002	C0195	3	858	180
S00270	O00270	P020	C0093	5	13215	2760
S00271	O00271	P013	C0081	4	4240	2440
S00272	O00272	P026	C0155	5	27060	4590
S00273	O00273	P013	C0082	2	2120	1220
S00274	O00274	P003	C0090	4	14204	3336
S00275	O00275	P011	C0193	2	680	244
S00276	O00276	P023	C0164	5	30230	6785
S00277	O00277	P018	C0043	2	8034	1450
S00278	O00278	P005	C0134	4	11136	5492
S00279	O00279	P005	C0153	1	2784	1373
S00280	O00280	P016	C0178	5	8940	3105
S00281	O00281	P018	C0035	4	16068	2900
S00282	O00282	P029	C0072	3	3750	1077
S00283	O00283	P015	C0136	2	2798	2146
S00284	O00284	P023	C0185	3	18138	4071
S00285	O00285	P026	C0019	1	5412	918
S00286	O00286	P023	C0115	5	30230	6785
S00287	O00287	P012	C0111	3	5169	3375
S00288	O00288	P030	C0141	2	5382	1852
S00289	O00289	P001	C0062	2	4124	422
S00290	O00290	P004	C0146	1	2903	451
S00291	O00291	P028	C0111	3	3771	1695
S00292	O00292	P025	C0107	3	13896	3456
S00293	O00293	P030	C0177	5	13455	4630
S00294	O00294	P027	C0031	2	2542	1194
S00295	O00295	P005	C0094	2	5568	2746
S00296	O00296	P003	C0124	5	17755	4170
S00297	O00297	P017	C0155	1	3079	1407
S00298	O00298	P020	C0165	5	13215	2760
S00299	O00299	P027	C0123	3	3813	1791
S00300	O00300	P020	C0152	3	7929	1656
S00301	O00301	P004	C0051	5	14515	2255
S00302	O00302	P003	C0061	3	10653	2502
S00303	O00303	P018	C0110	3	12051	2175
S00304	O00304	P009	C0008	5	12490	1580
S00305	O00305	P025	C0083	4	18528	4608
S00306	O00306	P006	C0132	4	1720	324
S00307	O00307	P011	C0047	5	1700	610
S00308	O00308	P018	C0176	5	20085	3625
S00309	O00309	P001	C0079	1	2062	211
S00310	O00310	P028	C0067	3	3771	1695
S00311	O00311	P015	C0036	1	1399	1073
S00312	O00312	P012	C0139	2	3446	2250
S00313	O00313	P026	C0160	1	5412	918
S00314	O00314	P017	C0186	1	3079	1407
S00315	O00315	P020	C0155	5	13215	2760
S00316	O00316	P011	C0136	5	1700	610
S00317	O00317	P004	C0158	1	2903	451
S00318	O00318	P026	C0193	2	10824	1836
S00319	O00319	P003	C0056	5	17755	4170
S00320	O00320	P020	C0069	2	5286	1104
S00321	O00321	P009	C0153	1	2498	316
S00322	O00322	P014	C0122	4	15516	944
S00323	O00323	P027	C0164	4	5084	2388
S00324	O00324	P006	C0038	2	860	162
S00325	O00325	P011	C0115	2	680	244
S00326	O00326	P004	C0098	4	11612	1804
S00327	O00327	P026	C0199	3	16236	2754
S00328	O00328	P002	C0170	4	1144	240
S00329	O00329	P028	C0060	4	5028	2260
S00330	O00330	P007	C0112	5	13500	7055
S00331	O00331	P019	C0126	1	2877	582
S00332	O00332	P029	C0163	5	6250	1795
S00333	O00333	P001	C0194	4	8248	844
S00334	O00334	P013	C0075	5	5300	3050
S00335	O00335	P009	C0154	4	9992	1264
S00336	O00336	P026	C0084	2	10824	1836
S00337	O00337	P022	C0144	1	3891	927
S00338	O00338	P005	C0073	1	2784	1373
S00339	O00339	P019	C0123	2	5754	1164
S00340	O00340	P013	C0008	1	1060	610
S00341	O00341	P002	C0173	4	1144	240
S00342	O00342	P025	C0089	1	4632	1152
S00343	O00343	P012	C0079	3	5169	3375
S00344	O00344	P028	C0092	3	3771	1695
S00345	O00345	P011	C0064	5	1700	610
S00346	O00346	P010	C0080	5	26380	6925
S00347	O00347	P022	C0002	4	15564	3708
S00348	O00348	P028	C0062	2	2514	1130
S00349	O00349	P006	C0036	5	2150	405
S00350	O00350	P002	C0041	4	1144	240
S00351	O00351	P008	C0198	3	5319	3618
S00352	O00352	P027	C0019	2	2542	1194
S00353	O00353	P001	C0118	5	10310	1055
S00354	O00354	P007	C0029	1	2700	1411
S00355	O00355	P010	C0156	3	15828	4155
S00356	O00356	P001	C0013	1	2062	211
S00357	O00357	P015	C0081	3	4197	3219
S00358	O00358	P001	C0050	2	4124	422
S00359	O00359	P024	C0113	1	1371	773
S00360	O00360	P008	C0003	2	3546	2412
S00361	O00361	P003	C0148	5	17755	4170
S00362	O00362	P009	C0140	3	7494	948
S00363	O00363	P017	C0136	5	15395	7035
S00364	O00364	P016	C0195	5	8940	3105
S00365	O00365	P001	C0135	5	10310	1055
S00366	O00366	P013	C0082	1	1060	610
S00367	O00367	P029	C0129	1	1250	359
S00368	O00368	P013	C0140	5	5300	3050
S00369	O00369	P010	C0050	4	21104	5540
S00370	O00370	P007	C0069	5	13500	7055
S00371	O00371	P006	C0123	1	430	81
S00372	O00372	P027	C0026	1	1271	597
S00373	O00373	P015	C0145	1	1399	1073
S00374	O00374	P017	C0087	4	12316	5628
S00375	O00375	P027	C0111	5	6355	2985
S00376	O00376	P013	C0092	5	5300	3050
S00377	O00377	P022	C0047	5	19455	4635
S00378	O00378	P016	C0151	1	1788	621
S00379	O00379	P012	C0117	5	8615	5625
S00380	O00380	P027	C0071	5	6355	2985
S00381	O00381	P022	C0111	3	11673	2781
S00382	O00382	P013	C0192	1	1060	610
S00383	O00383	P019	C0007	1	2877	582
S00384	O00384	P010	C0057	1	5276	1385
S00385	O00385	P027	C0164	4	5084	2388
S00386	O00386	P016	C0145	5	8940	3105
S00387	O00387	P009	C0005	1	2498	316
S00388	O00388	P020	C0123	3	7929	1656
S00389	O00389	P012	C0058	1	1723	1125
S00390	O00390	P005	C0101	2	5568	2746
S00391	O00391	P011	C0045	1	340	122
S00392	O00392	P002	C0042	4	1144	240
S00393	O00393	P007	C0113	1	2700	1411
S00394	O00394	P009	C0110	4	9992	1264
S00395	O00395	P027	C0121	4	5084	2388
S00396	O00396	P025	C0131	5	23160	5760
S00397	O00397	P012	C0074	4	6892	4500
S00398	O00398	P012	C0062	5	8615	5625
S00399	O00399	P023	C0068	4	24184	5428
S00400	O00400	P001	C0126	2	4124	422
S00401	O00401	P013	C0029	1	1060	610
S00402	O00402	P024	C0141	4	5484	3092
S00403	O00403	P016	C0136	2	3576	1242
S00404	O00404	P029	C0087	3	3750	1077
S00405	O00405	P008	C0022	4	7092	4824
S00406	O00406	P009	C0151	2	4996	632
S00407	O00407	P003	C0097	5	17755	4170
S00408	O00408	P024	C0196	1	1371	773
S00409	O00409	P020	C0092	5	13215	2760
S00410	O00410	P005	C0192	4	11136	5492
S00411	O00411	P003	C0137	1	3551	834
S00412	O00412	P015	C0102	5	6995	5365
S00413	O00413	P029	C0124	3	3750	1077
S00414	O00414	P005	C0199	5	13920	6865
S00415	O00415	P001	C0017	2	4124	422
S00416	O00416	P018	C0183	5	20085	3625
S00417	O00417	P013	C0143	1	1060	610
S00418	O00418	P024	C0187	3	4113	2319
S00419	O00419	P023	C0162	4	24184	5428
S00420	O00420	P020	C0178	4	10572	2208
S00421	O00421	P030	C0081	4	10764	3704
S00422	O00422	P023	C0176	1	6046	1357
S00423	O00423	P001	C0005	5	10310	1055
S00424	O00424	P002	C0189	2	572	120
S00425	O00425	P027	C0106	2	2542	1194
S00426	O00426	P009	C0153	1	2498	316
S00427	O00427	P011	C0038	2	680	244
S00428	O00428	P005	C0170	5	13920	6865
S00429	O00429	P009	C0101	4	9992	1264
S00430	O00430	P027	C0041	3	3813	1791
S00431	O00431	P004	C0003	1	2903	451
S00432	O00432	P002	C0061	2	572	120
S00433	O00433	P022	C0149	1	3891	927
S00434	O00434	P004	C0089	1	2903	451
S00435	O00435	P018	C0041	5	20085	3625
S00436	O00436	P027	C0102	5	6355	2985
S00437	O00437	P026	C0162	1	5412	918
S00438	O00438	P003	C0116	1	3551	834
S00439	O00439	P019	C0079	5	14385	2910
S00440	O00440	P008	C0166	3	5319	3618
S00441	O00441	P028	C0094	4	5028	2260
S00442	O00442	P004	C0071	3	8709	1353
S00443	O00443	P018	C0037	2	8034	1450
S00444	O00444	P021	C0092	2	12350	2518
S00445	O00445	P015	C0160	1	1399	1073
S00446	O00446	P017	C0184	3	9237	4221
S00447	O00447	P012	C0097	3	5169	3375
S00448	O00448	P025	C0110	4	18528	4608
S00449	O00449	P004	C0057	4	11612	1804
S00450	O00450	P022	C0133	2	7782	1854
S00451	O00451	P011	C0181	3	1020	366
S00452	O00452	P009	C0057	4	9992	1264
S00453	O00453	P007	C0179	3	8100	4233
S00454	O00454	P012	C0177	2	3446	2250
S00455	O00455	P011	C0147	4	1360	488
S00456	O00456	P025	C0104	5	23160	5760
S00457	O00457	P008	C0112	5	8865	6030
S00458	O00458	P020	C0028	5	13215	2760
S00459	O00459	P029	C0198	5	6250	1795
S00460	O00460	P001	C0160	1	2062	211
S00461	O00461	P022	C0122	4	15564	3708
S00462	O00462	P022	C0183	4	15564	3708
S00463	O00463	P002	C0200	3	858	180
S00464	O00464	P016	C0078	2	3576	1242
S00465	O00465	P009	C0054	1	2498	316
S00466	O00466	P010	C0128	3	15828	4155
S00467	O00467	P009	C0039	4	9992	1264
S00468	O00468	P002	C0099	1	286	60
S00469	O00469	P010	C0191	1	5276	1385
S00470	O00470	P030	C0034	1	2691	926
S00471	O00471	P014	C0133	2	7758	472
S00472	O00472	P015	C0168	1	1399	1073
S00473	O00473	P028	C0054	4	5028	2260
S00474	O00474	P016	C0010	4	7152	2484
S00475	O00475	P008	C0013	3	5319	3618
S00476	O00476	P007	C0154	5	13500	7055
S00477	O00477	P006	C0168	2	860	162
S00478	O00478	P013	C0174	2	2120	1220
S00479	O00479	P025	C0067	1	4632	1152
S00480	O00480	P014	C0178	3	11637	708
S00481	O00481	P027	C0045	3	3813	1791
S00482	O00482	P001	C0142	5	10310	1055
S00483	O00483	P009	C0025	2	4996	632
S00484	O00484	P013	C0165	5	5300	3050
S00485	O00485	P001	C0172	5	10310	1055
S00486	O00486	P030	C0190	4	10764	3704
S00487	O00487	P020	C0024	4	10572	2208
S00488	O00488	P017	C0050	5	15395	7035
S00489	O00489	P009	C0159	2	4996	632
S00490	O00490	P021	C0129	2	12350	2518
S00491	O00491	P007	C0027	3	8100	4233
S00492	O00492	P021	C0042	1	6175	1259
S00493	O00493	P021	C0055	3	18525	3777
S00494	O00494	P016	C0185	4	7152	2484
S00495	O00495	P007	C0159	3	8100	4233
S00496	O00496	P026	C0040	5	27060	4590
S00497	O00497	P009	C0019	1	2498	316
S00498	O00498	P009	C0011	3	7494	948
S00499	O00499	P026	C0127	4	21648	3672
S00500	O00500	P016	C0185	2	3576	1242
S00501	O00501	P024	C0021	2	2742	1546
S00502	O00502	P013	C0181	1	1060	610
S00503	O00503	P004	C0052	2	5806	902
S00504	O00504	P020	C0057	1	2643	552
S00505	O00505	P028	C0198	2	2514	1130
S00506	O00506	P002	C0048	5	1430	300
S00507	O00507	P009	C0031	5	12490	1580
S00508	O00508	P002	C0055	3	858	180
S00509	O00509	P014	C0151	3	11637	708
S00510	O00510	P014	C0155	2	7758	472
S00511	O00511	P003	C0155	4	14204	3336
S00512	O00512	P029	C0063	2	2500	718
S00513	O00513	P025	C0198	5	23160	5760
S00514	O00514	P006	C0072	5	2150	405
S00515	O00515	P018	C0182	2	8034	1450
S00516	O00516	P024	C0112	4	5484	3092
S00517	O00517	P011	C0101	5	1700	610
S00518	O00518	P015	C0159	2	2798	2146
S00519	O00519	P015	C0040	2	2798	2146
S00520	O00520	P005	C0054	5	13920	6865
S00521	O00521	P008	C0168	4	7092	4824
S00522	O00522	P002	C0184	4	1144	240
S00523	O00523	P024	C0080	3	4113	2319
S00524	O00524	P014	C0084	2	7758	472
S00525	O00525	P013	C0190	2	2120	1220
S00526	O00526	P018	C0095	4	16068	2900
S00527	O00527	P008	C0100	5	8865	6030
S00528	O00528	P029	C0168	2	2500	718
S00529	O00529	P006	C0180	4	1720	324
S00530	O00530	P023	C0098	1	6046	1357
S00531	O00531	P012	C0124	2	3446	2250
S00532	O00532	P007	C0124	2	5400	2822
S00533	O00533	P023	C0165	3	18138	4071
S00534	O00534	P025	C0061	2	9264	2304
S00535	O00535	P002	C0195	5	1430	300
S00536	O00536	P018	C0117	1	4017	725
S00537	O00537	P026	C0012	2	10824	1836
S00538	O00538	P007	C0192	4	10800	5644
S00539	O00539	P010	C0003	2	10552	2770
S00540	O00540	P015	C0025	4	5596	4292
S00541	O00541	P021	C0189	2	12350	2518
S00542	O00542	P001	C0014	2	4124	422
S00543	O00543	P026	C0069	5	27060	4590
S00544	O00544	P005	C0004	4	11136	5492
S00545	O00545	P004	C0099	3	8709	1353
S00546	O00546	P014	C0150	5	19395	1180
S00547	O00547	P016	C0200	2	3576	1242
S00548	O00548	P021	C0143	5	30875	6295
S00549	O00549	P023	C0157	3	18138	4071
S00550	O00550	P029	C0177	1	1250	359
S00551	O00551	P012	C0070	1	1723	1125
S00552	O00552	P023	C0117	4	24184	5428
S00553	O00553	P014	C0101	3	11637	708
S00554	O00554	P009	C0048	1	2498	316
S00555	O00555	P002	C0128	1	286	60
S00556	O00556	P008	C0164	2	3546	2412
S00557	O00557	P019	C0057	5	14385	2910
S00558	O00558	P029	C0024	3	3750	1077
S00559	O00559	P007	C0060	3	8100	4233
S00560	O00560	P012	C0147	2	3446	2250
S00561	O00561	P022	C0048	4	15564	3708
S00562	O00562	P003	C0017	3	10653	2502
S00563	O00563	P014	C0084	5	19395	1180
S00564	O00564	P024	C0135	4	5484	3092
S00565	O00565	P001	C0085	2	4124	422
S00566	O00566	P009	C0050	5	12490	1580
S00567	O00567	P022	C0015	1	3891	927
S00568	O00568	P023	C0047	5	30230	6785
S00569	O00569	P002	C0111	2	572	120
S00570	O00570	P013	C0191	1	1060	610
S00571	O00571	P014	C0060	4	15516	944
S00572	O00572	P006	C0134	1	430	81
S00573	O00573	P008	C0061	5	8865	6030
S00574	O00574	P001	C0061	2	4124	422
S00575	O00575	P026	C0024	1	5412	918
S00576	O00576	P011	C0093	2	680	244
S00577	O00577	P028	C0153	1	1257	565
S00578	O00578	P021	C0188	3	18525	3777
S00579	O00579	P026	C0079	4	21648	3672
S00580	O00580	P022	C0150	1	3891	927
S00581	O00581	P021	C0032	1	6175	1259
S00582	O00582	P007	C0088	3	8100	4233
S00583	O00583	P023	C0147	5	30230	6785
S00584	O00584	P024	C0022	1	1371	773
S00585	O00585	P024	C0053	3	4113	2319
S00586	O00586	P013	C0171	4	4240	2440
S00587	O00587	P010	C0004	3	15828	4155
S00588	O00588	P024	C0152	1	1371	773
S00589	O00589	P014	C0056	1	3879	236
S00590	O00590	P012	C0109	5	8615	5625
S00591	O00591	P019	C0012	2	5754	1164
S00592	O00592	P005	C0122	1	2784	1373
S00593	O00593	P014	C0089	3	11637	708
S00594	O00594	P029	C0148	4	5000	1436
S00595	O00595	P009	C0073	4	9992	1264
S00596	O00596	P022	C0175	3	11673	2781
S00597	O00597	P006	C0040	3	1290	243
S00598	O00598	P008	C0102	2	3546	2412
S00599	O00599	P024	C0155	4	5484	3092
S00600	O00600	P001	C0069	3	6186	633
S00601	O00601	P022	C0190	3	11673	2781
S00602	O00602	P029	C0025	2	2500	718
S00603	O00603	P021	C0092	3	18525	3777
S00604	O00604	P012	C0009	3	5169	3375
S00605	O00605	P017	C0074	3	9237	4221
S00606	O00606	P013	C0034	3	3180	1830
S00607	O00607	P025	C0007	3	13896	3456
S00608	O00608	P001	C0146	4	8248	844
S00609	O00609	P004	C0100	1	2903	451
S00610	O00610	P012	C0055	5	8615	5625
S00611	O00611	P007	C0082	1	2700	1411
S00612	O00612	P021	C0111	5	30875	6295
S00613	O00613	P010	C0133	1	5276	1385
S00614	O00614	P029	C0199	2	2500	718
