CustomerID,CustomerName,Gender,Age,City,State,Segment
C0121,Customer 121,Female,35,Hyderabad,Telangana,Home Office
C0122,Customer 122,Female,56,Hyderabad,Telangana,Home Office
C0123,Customer 123,Male,24,Bengaluru,Karnataka,Consumer
C0124,Customer 124,Female,31,Delhi,Delhi,Home Office
C0125,Customer 125,Female,40,Mumbai,Maharashtra,Home Office
C0126,Customer 126,Female,31,Bengaluru,Karnataka,Home Office
C0127,Customer 127,Male,28,Hyderabad,Telangana,Home Office
C0128,Customer 128,Female,32,Delhi,Delhi,Consumer
C0129,Customer 129,Female,34,Bengaluru,Karnataka,Home Office
C0130,Customer 130,Female,46,Pune,Maharashtra,Home Office
C0131,Customer 131,Female,53,Bengaluru,Karnataka,Consumer
C0132,Customer 132,Male,54,Delhi,Delhi,Consumer
C0133,Customer 133,Male,38,Bengaluru,Karnataka,Home Office
C0134,Customer 134,Male,60,Pune,Maharashtra,Home Office
C0135,Customer 135,Female,36,Pune,Maharashtra,Corporate
C0136,Customer 136,Female,31,Hyderabad,Telangana,Corporate
C0137,Customer 137,Male,60,Hyderabad,Telangana,Corporate
C0138,Customer 138,Male,48,Mumbai,Maharashtra,Home Office
C0139,Customer 139,Female,28,Delhi,Delhi,Home Office
C0140,Customer 140,Female,36,Bengaluru,Karnataka,Corporate
C0141,Customer 141,Male,33,Delhi,Delhi,Home Office
C0142,Customer 142,Male,22,Hyderabad,Telangana,Home Office
C0143,Customer 143,Male,37,Delhi,Delhi,Consumer
C0144,Customer 144,Female,30,Mumbai,Maharashtra,Home Office
C0145,Customer 145,Female,40,Mumbai,Maharashtra,Home Office
C0146,Customer 146,Female,31,Bengaluru,Karnataka,Home Office
C0147,Customer 147,Female,47,Bengaluru,Karnataka,Consumer
C0148,Customer 148,Female,34,Mumbai,Maharashtra,Corporate
C0149,Customer 149,Male,28,Pune,Maharashtra,Home Office
C0150,Customer 150,Female,29,Pune,Maharashtra,Consumer
C0151,Customer 151,Female,57,Delhi,Delhi,Corporate
C0152,Customer 152,Female,54,Hyderabad,Telangana,Corporate
C0153,Customer 153,Male,49,Pune,Maharashtra,Home Office
C0154,Customer 154,Female,40,Hyderabad,Telangana,Home Office
C0155,Customer 155,Female,57,Hyderabad,Telangana,Corporate
C0156,Customer 156,Female,45,Pune,Maharashtra,Consumer
C0157,Customer 157,Male,38,Delhi,Delhi,Home Office
C0158,Customer 158,Male,50,Delhi,Delhi,Home Office
C0159,Customer 159,Female,40,Delhi,Delhi,Home Office
C0160,Customer 160,Female,60,Mumbai,Maharashtra,Home Office
C0161,Customer 161,Male,44,Delhi,Delhi,Home Office
C0162,Customer 162,Female,58,Pune,Maharashtra,Corporate
C0163,Customer 163,Female,60,Hyderabad,Telangana,Home Office
C0164,Customer 164,Female,36,Pune,Maharashtra,Home Office
C0165,Customer 165,Male,47,Bengaluru,Karnataka,Home Office
C0166,Customer 166,Female,38,Mumbai,Maharashtra,Consumer
C0167,Customer 167,Male,43,Pune,Maharashtra,Corporate
C0168,Customer 168,Female,30,Hyderabad,Telangana,Corporate
C0169,Customer 169,Female,31,Bengaluru,Karnataka,Corporate
C0170,Customer 170,Male,38,Delhi,Delhi,Home Office
C0171,Customer 171,Female,25,Pune,Maharashtra,Corporate
C0172,Customer 172,Female,22,Pune,Maharashtra,Consumer
C0173,Customer 173,Male,26,Delhi,Delhi,Corporate
C0174,Customer 174,Female,34,Bengaluru,Karnataka,Home Office
C0175,Customer 175,Male,42,Mumbai,Maharashtra,Corporate
C0176,Customer 176,Male,54,Pune,Maharashtra,Home Office
C0177,Customer 177,Female,53,Bengaluru,Karnataka,Home Office
C0178,Customer 178,Male,40,Pune,Maharashtra,Home Office
C0179,Customer 179,Female,43,Delhi,Delhi,Home Office
C0180,Customer 180,Female,56,Mumbai,Maharashtra,Corporate
C0181,Customer 181,Female,37,Mumbai,Maharashtra,Home Office
C0182,Customer 182,Male,37,Bengaluru,Karnataka,Home Office
C0183,Customer 183,Male,60,Mumbai,Maharashtra,Corporate
C0184,Customer 184,Female,36,Bengaluru,Karnataka,Corporate
C0185,Customer 185,Male,31,Mumbai,Maharashtra,Home Office
C0186,Customer 186,Male,59,Hyderabad,Telangana,Corporate
C0187,Customer 187,Male,29,Hyderabad,Telangana,Consumer
C0188,Customer 188,Female,40,Hyderabad,Telangana,Corporate
C0189,Customer 189,Male,34,Mumbai,Maharashtra,Home Office
C0190,Customer 190,Male,27,Bengaluru,Karnataka,Consumer
C0191,Customer 191,Female,52,Hyderabad,Telangana,Consumer
C0192,Customer 192,Male,24,Mumbai,Maharashtra,Home Office
C0193,Customer 193,Male,23,Pune,Maharashtra,Corporate
C0194,Customer 194,Female,42,Delhi,Delhi,Home Office
C0195,Customer 195,Male,60,Bengaluru,Karnataka,Home Office
C0196,Customer 196,Male,35,Mumbai,Maharashtra,Corporate
C0197,Customer 197,Female,49,Mumbai,Maharashtra,Corporate
C0198,Customer 198,Male,36,Mumbai,Maharashtra,Corporate
C0199,Customer 199,Female,34,Hyderabad,Telangana,Corporate
C0200,Customer 200,Female,52,Bengaluru,Karnataka,Home Office
